source,authors,year,title,doi,page,volume,issue
"Soares, M.C.S. et al. (2008) ‘The effects of water retention time and watershed features on the limnology of two tropical reservoirs in Brazil’, Lakes & Reservoirs: Science, Policy and Management for Sustainable Use, 13(4), pp. 257–269. Available at: https://doi.org/10.1111/j.1440-1770.2008.00379.x.","Soares, M.C.S. et al. ",2008,The effects of water retention time and watershed features on the limnology of two tropical reservoirs in Brazil,10.1111/j.1440-1770.2008.00379.x,257–269,13,(4)
"Soares, M.C.S. et al. (2012) ‘Eutrophication and retention time affecting spatial heterogeneity in a tropical reservoir’, Limnologica, 42(3), pp. 197–203. Available at: https://doi.org/10.1016/j.limno.2011.11.002.","Soares, M.C.S. et al. ",2012,Eutrophication and retention time affecting spatial heterogeneity in a tropical reservoir,10.1016/j.limno.2011.11.002,197–203,42,(3)
"Sommer, U. et al. (2003) ‘Daphnia versus copepod impact on summer phytoplankton: functional compensation at both trophic levels’, Oecologia, 135(4), pp. 639–647. Available at: https://doi.org/10.1007/s00442-003-1214-7.","Sommer, U. et al. ",2003,Daphnia versus copepod impact on summer phytoplankton: functional compensation at both trophic levels,10.1007/s00442-003-1214-7,639–647,135,(4)
"Sommer, U. et al. (2012) ‘The Baltic Sea spring phytoplankton bloom in a changing climate: an experimental approach’, Marine Biology, 159(11), pp. 2479–2490. Available at: https://doi.org/10.1007/s00227-012-1897-6.","Sommer, U. et al. ",2012,The Baltic Sea spring phytoplankton bloom in a changing climate: an experimental approach,10.1007/s00227-012-1897-6,2479–2490,159,(11)
"Song, W. et al. (2020) ‘Morphology and Molecular Phylogeny of Two Freshwater Oligotrich Ciliates (Protozoa, Ciliophora, Oligotrichia), Pelagostrombidium fallax (Zacharias, 1895) Krainer, 1991 and Limnostrombidium viride (Stein, 1867) Krainer, 1995, with Brief Notes on Stomatogenesis’, Journal of Eukaryotic Microbiology, 67(2), pp. 232–244. Available at: https://doi.org/10.1111/jeu.12777.","Song, W. et al. ",2020,"Morphology and Molecular Phylogeny of Two Freshwater Oligotrich Ciliates (Protozoa, Ciliophora, Oligotrichia), Pelagostrombidium fallax (Zacharias, 1895) Krainer, 1991 and Limnostrombidium viride (Stein, 1867) Krainer, 1995, with Brief Notes on Stomatogenesis",10.1111/jeu.12777,232–244,1895,NA
"Song, W. and Wilbert, N. (2002) ‘Reinvestigations of Three “Well-known” Marine Scuticociliates: Uronemella filificum (Kahl, 1931) nov. gen., nov. comb., Pseud cohnilembus hargisi Evans & Thompson, 1964 and Cyclidium citrullus Cohn 1865, with Description of the New Genus Uronemella (Protozoa, Ciliophora, Scuticociliatida)’, Zoologischer Anzeiger - A Journal of Comparative Zoology, 241(4), pp. 317–331. Available at: https://doi.org/10.1078/0044-5231-00075.","Song, W. and Wilbert, N. ",2002,"Reinvestigations of Three “Well-known” Marine Scuticociliates: Uronemella filificum (Kahl, 1931) nov. gen., nov. comb., Pseud cohnilembus hargisi Evans & Thompson, 1964 and Cyclidium citrullus Cohn 1865, with Description of the New Genus Uronemella (Protozoa, Ciliophora, Scuticociliatida)",10.1078/0044-5231-00075,317–331,1931,NA
"Sosa, E.R. et al. (2007) ‘Aphanomyces invadans and Ulcerative Mycosis in Estuarine and Freshwater Fish in Florida’, Journal of Aquatic Animal Health, 19(1), pp. 14–26. Available at: https://doi.org/10.1577/H06-012.1.","Sosa, E.R. et al. ",2007,Aphanomyces invadans and Ulcerative Mycosis in Estuarine and Freshwater Fish in Florida,10.1577/H06-012.1,14–26,19,(1)
"Spielmann, A.A. and Marcelli, M.P. (2009) ‘Parmotrema s.l. (Parmeliaceae, lichenized Ascomycota) from Serra Geral slopes in central Rio Grande do Sul state, Brazil’, Hoehnea, 36(4), pp. 551–595. Available at: https://doi.org/10.1590/S2236-89062009000400002.","Spielmann, A.A. and Marcelli, M.P. ",2009,"Parmotrema s.l. (Parmeliaceae, lichenized Ascomycota) from Serra Geral slopes in central Rio Grande do Sul state, Brazil",10.1590/S2236-89062009000400002,551–595,36,(4)
"Stabell, T. (2002) ‘Ecological significance of endosymbionts in a mixotrophic ciliate--an experimental test of a simple model of growth coordination between host and symbiont’, Journal of Plankton Research, 24(9), pp. 889–899. Available at: https://doi.org/10.1093/plankt/24.9.889.","Stabell, T. ",2002,Ecological significance of endosymbionts in a mixotrophic ciliate--an experimental test of a simple model of growth coordination between host and symbiont,10.1093/plankt/24.9.889,889–899,24,(9)
"Stanier, R.Y. (1942) ‘The Cultivation and Nutrient Requirements of a Chytridiaceous Fungus, Rhizophlyctis rosea’, Journal of Bacteriology, 43(4), pp. 499–520. Available at: https://doi.org/10.1128/jb.43.4.499-520.1942.","Stanier, R.Y. ",1942,"The Cultivation and Nutrient Requirements of a Chytridiaceous Fungus, Rhizophlyctis rosea",10.1128/jb.43.4.499-520.1942,499–520,43,(4)
"Starkweather, P.L. and Kellar, P.E. (1983) ‘Utilization of cyanobacteria by Brachionus calyciflorus: Anabaena flos-aquae (NRC-44-1) as a sole or complementary food source’, in B. Pejler, R. Starkweather, and Th. Nogrady (eds) Biology of Rotifers. Dordrecht: Springer Netherlands, pp. 373–377. Available at: https://doi.org/10.1007/978-94-009-7287-2_50.","Starkweather, P.L. and Kellar, P.E. ",1983,Utilization of cyanobacteria by Brachionus calyciflorus: Anabaena flos-aquae (NRC-44-1) as a sole or complementary food source,10.1007/978-94-009-7287-2_50,373–377,NA,NA
"Steidinger, K.A. et al. (1996) ‘PFIESTERIA PISCICIDA GEN. ET SP. NOV. (PFIESTERIACEAE FAM. NOV.), A NEW TOXIC DINOFLAGELLATE WITH A COMPLEX LIFE CYCLE AND BEHAVIOR 1’, Journal of Phycology, 32(1), pp. 157–164. Available at: https://doi.org/10.1111/j.0022-3646.1996.00157.x.","Steidinger, K.A. et al. ",1996,"PFIESTERIA PISCICIDA GEN. ET SP. NOV. (PFIESTERIACEAE FAM. NOV.), A NEW TOXIC DINOFLAGELLATE WITH A COMPLEX LIFE CYCLE AND BEHAVIOR 1",10.1111/j.0022-3646.1996.00157.x,157–164,32,(1)
"Stemberger, R.S. and Gilbert, J.J. (1985) ‘Body Size, Food Concentration, and Population Growth in Planktonic Rotifers’, Ecology, 66(4), pp. 1151–1159. Available at: https://doi.org/10.2307/1939167.","Stemberger, R.S. and Gilbert, J.J. ",1985,"Body Size, Food Concentration, and Population Growth in Planktonic Rotifers",10.2307/1939167,1151–1159,66,(4)
"Sterflinger, K. et al. (1997) ‘[No title found]’, Antonie van Leeuwenhoek, 72(4), pp. 349–363. Available at: https://doi.org/10.1023/A:1000570429688.","Sterflinger, K. et al. ",1997,[No title found],10.1023/A:1000570429688,349–363,72,(4)
"Sterner, R.W. (1989) ‘The Role of Grazers in Phytoplankton Succession’, in U. Sommer (ed.) Plankton Ecology. Berlin, Heidelberg: Springer Berlin Heidelberg (Brock/Springer Series in Contemporary Bioscience), pp. 107–170. Available at: https://doi.org/10.1007/978-3-642-74890-5_4.","Sterner, R.W. ",1989,The Role of Grazers in Phytoplankton Succession,10.1007/978-3-642-74890-5_4,107–170,NA,NA
"Stoupin, D. et al. (2012) ‘Cryptic diversity within the choanoflagellate morphospecies complex Codosiga botrytis – Phylogeny and morphology of ancient and modern isolates’, European Journal of Protistology, 48(4), pp. 263–273. Available at: https://doi.org/10.1016/j.ejop.2012.01.004.","Stoupin, D. et al. ",2012,Cryptic diversity within the choanoflagellate morphospecies complex Codosiga botrytis – Phylogeny and morphology of ancient and modern isolates,10.1016/j.ejop.2012.01.004,263–273,48,(4)
"Suh, S.-O. and Blackwell, M. (2005) ‘Four new yeasts in the Candida mesenterica clade associated with basidiocarp-feeding beetles’, Mycologia, 97(1), pp. 167–177. Available at: https://doi.org/10.1080/15572536.2006.11832850.","Suh, S.-O. and Blackwell, M. ",2005,Four new yeasts in the Candida mesenterica clade associated with basidiocarp-feeding beetles,10.1080/15572536.2006.11832850,167–177,97,(1)
"Suh, S.-O., Nguyen, N.H. and Blackwell, M. (2008) ‘Yeasts isolated from plant-associated beetles and other insects: seven novel Candida species near Candida albicans’, FEMS Yeast Research, 8(1), pp. 88–102. Available at: https://doi.org/10.1111/j.1567-1364.2007.00320.x.","Suh, S.-O., Nguyen, N.H. and Blackwell, M. ",2008,Yeasts isolated from plant-associated beetles and other insects: seven novel Candida species near Candida albicans,10.1111/j.1567-1364.2007.00320.x,88–102,8,(1)
"Takahashi, K. et al. (2015) ‘Two New Freshwater Woloszynskioids Asulcocephalium miricentonis gen. et sp. nov. and Leiocephalium pseudosanguineum gen. et sp. nov. (Suessiaceae, Dinophyceae) Lacking an Apical Furrow Apparatus’, Protist, 166(6), pp. 638–658. Available at: https://doi.org/10.1016/j.protis.2015.10.003.","Takahashi, K. et al. ",2015,"Two New Freshwater Woloszynskioids Asulcocephalium miricentonis gen. et sp. nov. and Leiocephalium pseudosanguineum gen. et sp. nov. (Suessiaceae, Dinophyceae) Lacking an Apical Furrow Apparatus",10.1016/j.protis.2015.10.003,638–658,166,(6)
"Takahashi, Y. et al. (2016) ‘Fibrophrys columna gen. nov., sp. nov: A member of the family Amphifilidae’, European Journal of Protistology, 56, pp. 41–50. Available at: https://doi.org/10.1016/j.ejop.2016.06.003.","Takahashi, Y. et al. ",2016,"Fibrophrys columna gen. nov., sp. nov: A member of the family Amphifilidae",10.1016/j.ejop.2016.06.003,41–50,56,NA
"Takamura N. and Yasuno M. (1983) ‘Food Selection of the Ciliated Protozoa, Condylostoma vorticella (Ehrenberg) in Lake Kasumigaura’, Japanese Journal of Limnology (Rikusuigaku Zasshi), 44(3), pp. 184–189. Available at: https://doi.org/10.3739/rikusui.44.184.",Takamura N. and Yasuno M. ,1983,"Food Selection of the Ciliated Protozoa, Condylostoma vorticella (Ehrenberg) in Lake Kasumigaura",10.3739/rikusui.44.184,184–189,44,(3)
"Tamar, H. (1992) ‘Four Marine Species of Mesodinium (Ciliophora: Mesodiniidae) II. Mesodinium pulex Clap. & Lachm., 1858’, Archiv für Protistenkunde, 141(4), pp. 284–303. Available at: https://doi.org/10.1016/S0003-9365(11)80058-8.","Tamar, H. ",1992,"Four Marine Species of Mesodinium (Ciliophora: Mesodiniidae) II. Mesodinium pulex Clap. & Lachm., 1858",10.1016/S0003-9365(11)80058-8,284–303,1858,NA
"Tanaka, K. et al. (2015) ‘Revision of the Massarineae ( Pleosporales , Dothideomycetes )’, Studies in Mycology, 82(1), pp. 75–136. Available at: https://doi.org/10.1016/j.simyco.2015.10.002.","Tanaka, K. et al. ",2015,"Revision of the Massarineae ( Pleosporales , Dothideomycetes )",10.1016/j.simyco.2015.10.002,75–136,82,(1)
"Tarangkoon, W. and Hansen, P. (2011) ‘Prey selection, ingestion and growth responses of the common marine ciliate Mesodinium pulex in the light and in the dark’, Aquatic Microbial Ecology, 62(1), pp. 25–38. Available at: https://doi.org/10.3354/ame01455.","Tarangkoon, W. and Hansen, P. ",2011,"Prey selection, ingestion and growth responses of the common marine ciliate Mesodinium pulex in the light and in the dark",10.3354/ame01455,25–38,62,(1)
"Taylor, W.D. (1977) ‘Growth responses of ciliate protozoa to the abundance of their bacterial prey’, Microbial Ecology, 4(3), pp. 207–214. Available at: https://doi.org/10.1007/BF02015077.","Taylor, W.D. ",1977,Growth responses of ciliate protozoa to the abundance of their bacterial prey,10.1007/BF02015077,207–214,4,(3)
"Teixeira, M.M. et al. (2017) ‘Exploring the genomic diversity of black yeasts and relatives ( Chaetothyriales , Ascomycota )’, Studies in Mycology, 86(1), pp. 1–28. Available at: https://doi.org/10.1016/j.simyco.2017.01.001.","Teixeira, M.M. et al. ",2017,"Exploring the genomic diversity of black yeasts and relatives ( Chaetothyriales , Ascomycota )",10.1016/j.simyco.2017.01.001,1–28,86,(1)
"Tellioglu, A. (2006) ‘Seasonal variations in copepod body length: a comparison between different species in Keban Dam Lake, Turkey’, Crustaceana, 79(1), pp. 11–22. Available at: https://doi.org/10.1163/156854006776759761.","Tellioglu, A. ",2006,"Seasonal variations in copepod body length: a comparison between different species in Keban Dam Lake, Turkey",10.1163/156854006776759761,11–22,79,(1)
"Thambugala, K.M. et al. (2014) ‘Dothideales’, Fungal Diversity, 68(1), pp. 105–158. Available at: https://doi.org/10.1007/s13225-014-0303-8.","Thambugala, K.M. et al. ",2014,Dothideales,10.1007/s13225-014-0303-8,105–158,68,(1)
"Thines, M. et al. (2009) ‘A new species of <I>Albugo</I> parasitic to <I>Arabidopsis thaliana</I> reveals new evolutionary patterns in white blister rusts (<I>Albuginaceae</I>)’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 22(1), pp. 123–128. Available at: https://doi.org/10.3767/003158509X457931.","Thines, M. et al. ",2009,A new species of <I>Albugo</I> parasitic to <I>Arabidopsis thaliana</I> reveals new evolutionary patterns in white blister rusts (<I>Albuginaceae</I>),10.3767/003158509X457931,123–128,22,(1)
"Thompson, R.H. and Wujek, D.E. (1996) ‘The Identity of Filoprotococcus and Trichosarcina (Chlorophyta) in Kansas’, Transactions of the Kansas Academy of Science (1903-), 99(3/4), p. 152. Available at: https://doi.org/10.2307/3627988.","Thompson, R.H. and Wujek, D.E. ",1996,The Identity of Filoprotococcus and Trichosarcina (Chlorophyta) in Kansas,10.2307/3627988,152,99,NA
"Thomsen, H.A. et al. (1991) ‘Fine structure and biology of Cryothecomonas gen. nov. (Protista incertae sedis) from the ice biota’, Canadian Journal of Zoology, 69(4), pp. 1048–1070. Available at: https://doi.org/10.1139/z91-150.","Thomsen, H.A. et al. ",1991,Fine structure and biology of Cryothecomonas gen. nov. (Protista incertae sedis) from the ice biota,10.1139/z91-150,1048–1070,69,(4)
"Throndsen, J. (1997) ‘The Planktonic Marine Flagellates’, in Identifying Marine Phytoplankton. Elsevier, pp. 591–729. Available at: https://doi.org/10.1016/B978-012693018-4/50007-0.","Throndsen, J. ",1997,The Planktonic Marine Flagellates,10.1016/B978-012693018-4/50007-0,591–729,NA,NA
"Throndsen, J. and Zingone, A. (1997) ‘Dolichomastix tenuilepis sp. nov., a first insight into the microanatomy of the genus Dolichomastix (Mamiellales, Prasinophyceae, Chlorophyta)’, Phycologia, 36(3), pp. 244–254. Available at: https://doi.org/10.2216/i0031-8884-36-3-244.1.","Throndsen, J. and Zingone, A. ",1997,"Dolichomastix tenuilepis sp. nov., a first insight into the microanatomy of the genus Dolichomastix (Mamiellales, Prasinophyceae, Chlorophyta)",10.2216/i0031-8884-36-3-244.1,244–254,36,(3)
"Timm, T. (1996) ‘Tubifex tubifex (Müller, 1774) (Oligochaeta, Tubificidae) in the Profundal of Estonian Lakes’, Internationale Revue der gesamten Hydrobiologie und Hydrographie, 81(4), pp. 589–596. Available at: https://doi.org/10.1002/iroh.19960810412.","Timm, T. ",1996,"Tubifex tubifex (Müller, 1774) (Oligochaeta, Tubificidae) in the Profundal of Estonian Lakes",10.1002/iroh.19960810412,589–596,1774,NA
"Toda, H. et al. (1987) ‘Physiological evaluation of temperature effect on the growth processes of the mysid, Neomysis intermedia Czerniawsky’, Journal of Plankton Research, 9(1), pp. 51–63. Available at: https://doi.org/10.1093/plankt/9.1.51.","Toda, H. et al. ",1987,"Physiological evaluation of temperature effect on the growth processes of the mysid, Neomysis intermedia Czerniawsky",10.1093/plankt/9.1.51,51–63,9,(1)
"Toepel, J., Langner, U. and Wilhelm, C. (2005) ‘COMBINATION OF FLOW CYTOMETRY AND SINGLE CELL ABSORPTION SPECTROSCOPY TO STUDY THE PHYTOPLANKTON STRUCTURE AND TO CALCULATE THE CHL A SPECIFIC ABSORPTION COEFFICIENTS AT THE TAXON LEVEL 1’, Journal of Phycology, 41(6), pp. 1099–1109. Available at: https://doi.org/10.1111/j.1529-8817.2005.00137.x.","Toepel, J., Langner, U. and Wilhelm, C. ",2005,COMBINATION OF FLOW CYTOMETRY AND SINGLE CELL ABSORPTION SPECTROSCOPY TO STUDY THE PHYTOPLANKTON STRUCTURE AND TO CALCULATE THE CHL A SPECIFIC ABSORPTION COEFFICIENTS AT THE TAXON LEVEL 1,10.1111/j.1529-8817.2005.00137.x,1099–1109,41,(6)
"Tong, S., Vørs, N. and Patterson, D.J. (1997) ‘Heterotrophic flagellates, centrohelid heliozoa and filose amoebae from marine and freshwater sites in the Antarctic’, Polar Biology, 18(2), pp. 91–106. Available at: https://doi.org/10.1007/s003000050163.","Tong, S., Vørs, N. and Patterson, D.J. ",1997,"Heterotrophic flagellates, centrohelid heliozoa and filose amoebae from marine and freshwater sites in the Antarctic",10.1007/s003000050163,91–106,18,(2)
"Train, S. and Rodrigues, L.C. (1997) ‘[No title found]’, Hydrobiologia, 361(1/3), pp. 125–134. Available at: https://doi.org/10.1023/A:1003118200157.","Train, S. and Rodrigues, L.C. ",1997,[No title found],10.1023/A:1003118200157,125–134,361,NA
"Troschel, H.J. and Rösch, R. (1991) ‘Daily ration of juvenile Coregonus lavaretus (L.) fed on living zooplankton’, Journal of Fish Biology, 38(1), pp. 95–104. Available at: https://doi.org/10.1111/j.1095-8649.1991.tb03095.x.","Troschel, H.J. and Rösch, R. ",1991,Daily ration of juvenile Coregonus lavaretus (L.) fed on living zooplankton,10.1111/j.1095-8649.1991.tb03095.x,95–104,38,(1)
"Tsuji, M. et al. (2018) ‘Mrakia arctica sp. nov., a new psychrophilic yeast isolated from an ice island in the Canadian High Arctic’, Mycoscience, 59(1), pp. 54–58. Available at: https://doi.org/10.1016/j.myc.2017.08.006.","Tsuji, M. et al. ",2018,"Mrakia arctica sp. nov., a new psychrophilic yeast isolated from an ice island in the Canadian High Arctic",10.1016/j.myc.2017.08.006,54–58,59,(1)
"Uchida, J.Y., Aragaki, M. and Yahata, P.S. (1986) ‘Basidiospore Formation by Ceratobasidium Sp. on Agar’, Mycologia, 78(4), pp. 587–592. Available at: https://doi.org/10.1080/00275514.1986.12025293.","Uchida, J.Y., Aragaki, M. and Yahata, P.S. ",1986,Basidiospore Formation by Ceratobasidium Sp. on Agar,10.1080/00275514.1986.12025293,587–592,78,(4)
"Ud Din, Z. et al. (2018) ‘Differential metabolism of diastereoisomeric diterpenes by Preussia minima, found as endophytic fungus in Cupressus lusitanica’, Bioorganic Chemistry, 78, pp. 436–443. Available at: https://doi.org/10.1016/j.bioorg.2018.04.003.","Ud Din, Z. et al. ",2018,"Differential metabolism of diastereoisomeric diterpenes by Preussia minima, found as endophytic fungus in Cupressus lusitanica",10.1016/j.bioorg.2018.04.003,436–443,78,NA
"Ueyama, S. et al. (2005) ‘Halteria grandinella : A rapid swimming ciliate with a high frequency of ciliary beating’, Cell Motility, 60(4), pp. 214–221. Available at: https://doi.org/10.1002/cm.20056.","Ueyama, S. et al. ",2005,Halteria grandinella : A rapid swimming ciliate with a high frequency of ciliary beating,10.1002/cm.20056,214–221,60,(4)
"Urbani, R. et al. (2005) ‘Extracellular carbohydrates released by the marine diatoms Cylindrotheca closterium, Thalassiosira pseudonana and Skeletonema costatum: Effect of P-depletion and growth status’, Science of The Total Environment, 353(1–3), pp. 300–306. Available at: https://doi.org/10.1016/j.scitotenv.2005.09.026.","Urbani, R. et al. ",2005,"Extracellular carbohydrates released by the marine diatoms Cylindrotheca closterium, Thalassiosira pseudonana and Skeletonema costatum: Effect of P-depletion and growth status",10.1016/j.scitotenv.2005.09.026,300–306,353,(1–3)
"Vakili Zarj, Z. et al. (2017) ‘Morphological and molecular identification of Leptosphaeria maculans in canola seeds and flowers collected from the North Iran’, Archives of Phytopathology and Plant Protection, 50(11–12), pp. 526–539. Available at: https://doi.org/10.1080/03235408.2017.1339986.","Vakili Zarj, Z. et al. ",2017,Morphological and molecular identification of Leptosphaeria maculans in canola seeds and flowers collected from the North Iran,10.1080/03235408.2017.1339986,526–539,50,(11–12)
"Valenzuela-Lopez, N. et al. (2018) ‘Coelomycetous Dothideomycetes with emphasis on the families Cucurbitariaceae and Didymellaceae’, Studies in Mycology, 90(1), pp. 1–69. Available at: https://doi.org/10.1016/j.simyco.2017.11.003.","Valenzuela-Lopez, N. et al. ",2018,Coelomycetous Dothideomycetes with emphasis on the families Cucurbitariaceae and Didymellaceae,10.1016/j.simyco.2017.11.003,1–69,90,(1)
"Vander Wiel, J.B. et al. (2017) ‘Characterization of Chlorella vulgaris and Chlorella protothecoides using multi-pixel photon counters in a 3D focusing optofluidic system’, RSC Advances, 7(8), pp. 4402–4408. Available at: https://doi.org/10.1039/C6RA25837A.","Vander Wiel, J.B. et al. ",2017,Characterization of Chlorella vulgaris and Chlorella protothecoides using multi-pixel photon counters in a 3D focusing optofluidic system,10.1039/C6RA25837A,4402–4408,7,(8)
"Varma, A. et al. (2012) ‘13 The Symbiotic Fungus Piriformospora indica: Review’, in B. Hock (ed.) Fungal Associations. Berlin, Heidelberg: Springer Berlin Heidelberg, pp. 231–254. Available at: https://doi.org/10.1007/978-3-642-30826-0_13.","Varma, A. et al. ",2012,13 The Symbiotic Fungus Piriformospora indica: Review,10.1007/978-3-642-30826-0_13,231–254,NA,NA
"Vásquez, E. and Rey, J. (1993) ‘Rotifer and cladoceran zooplankton assemblages in lakes on the Orinoco River floodplain (Venezuela)’, SIL Proceedings, 1922-2010, 25(2), pp. 912–917. Available at: https://doi.org/10.1080/03680770.1992.11900280.","Vásquez, E. and Rey, J. ",1993,Rotifer and cladoceran zooplankton assemblages in lakes on the Orinoco River floodplain (Venezuela),10.1080/03680770.1992.11900280,912–917,1922,NA
"Vaughan-Martini, A. (1995) ‘Saccharomyces barnetti andSaccharomyces spencerorum: two new species ofSaccharomyces sensu lato (van der Walt)’, Antonie van Leeuwenhoek, 68(2), pp. 111–118. Available at: https://doi.org/10.1007/BF00873098.","Vaughan-Martini, A. ",1995,Saccharomyces barnetti andSaccharomyces spencerorum: two new species ofSaccharomyces sensu lato (van der Walt),10.1007/BF00873098,111–118,68,(2)
"Vďačný, P. et al. (2011) ‘Morphological and molecular phylogeny of dileptid and tracheliid ciliates: Resolution at the base of the class Litostomatea (Ciliophora, Rhynchostomatia)’, European Journal of Protistology, 47(4), pp. 295–313. Available at: https://doi.org/10.1016/j.ejop.2011.04.006.","Vďačný, P. et al. ",2011,"Morphological and molecular phylogeny of dileptid and tracheliid ciliates: Resolution at the base of the class Litostomatea (Ciliophora, Rhynchostomatia)",10.1016/j.ejop.2011.04.006,295–313,47,(4)
"Vélez, C.G. et al. (2013) ‘Three new genera in Chytridiales from aquatic habitats in Argentina’, Mycologia, 105(5), pp. 1251–1265. Available at: https://doi.org/10.3852/12-353.","Vélez, C.G. et al. ",2013,Three new genera in Chytridiales from aquatic habitats in Argentina,10.3852/12-353,1251–1265,105,(5)
"Verity, P.G. (1981) ‘Effects of temperature, irradiance, and daylength on the marine diatom Leptocylindrus danicus Cleve. II. Excretion’, Journal of Experimental Marine Biology and Ecology, 55(2–3), pp. 159–169. Available at: https://doi.org/10.1016/0022-0981(81)90109-X.","Verity, P.G. ",1981,"Effects of temperature, irradiance, and daylength on the marine diatom Leptocylindrus danicus Cleve. II. Excretion",10.1016/0022-0981(81)90109-X,159–169,55,(2–3)
"Verity, P.G. (1985) ‘Grazing, respiration, excretion, and growth rates of tintinnids1’, Limnology and Oceanography, 30(6), pp. 1268–1282. Available at: https://doi.org/10.4319/lo.1985.30.6.1268.","Verity, P.G. ",1985,"Grazing, respiration, excretion, and growth rates of tintinnids1",10.4319/lo.1985.30.6.1268,1268–1282,30,(6)
"Verity, P.G. (1991) ‘Measurement and simulation of prey uptake by marine planktonic ciliates fed plastidic and aplastidic nanoplankton’, Limnology and Oceanography, 36(4), pp. 729–750. Available at: https://doi.org/10.4319/lo.1991.36.4.0729.","Verity, P.G. ",1991,Measurement and simulation of prey uptake by marine planktonic ciliates fed plastidic and aplastidic nanoplankton,10.4319/lo.1991.36.4.0729,729–750,36,(4)
"Verkley, G.J.M. et al. (2010) ‘Pyrenochaeta keratinophila sp. nov., isolated from an ocular infection in Spain’, Revista Iberoamericana de Micología, 27(1), pp. 22–24. Available at: https://doi.org/10.1016/j.riam.2009.09.001.","Verkley, G.J.M. et al. ",2010,"Pyrenochaeta keratinophila sp. nov., isolated from an ocular infection in Spain",10.1016/j.riam.2009.09.001,22–24,27,(1)
"Verkley, G.J.M. et al. (2014) ‘Novel genera and species of coniothyrium-like fungi in Montagnulaceae ( Ascomycota )’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 32(1), pp. 25–51. Available at: https://doi.org/10.3767/003158514X679191.","Verkley, G.J.M. et al. ",2014,Novel genera and species of coniothyrium-like fungi in Montagnulaceae ( Ascomycota ),10.3767/003158514X679191,25–51,32,(1)
"Verni, F. and Gualtieri, P. (1997) ‘Feeding behaviour in ciliated protists’, Micron, 28(6), pp. 487–504. Available at: https://doi.org/10.1016/S0968-4328(97)00028-0.","Verni, F. and Gualtieri, P. ",1997,Feeding behaviour in ciliated protists,10.1016/S0968-4328(97)00028-0,487–504,28,(6)
"Vidal, J. (1980) ‘Physioecology of zooplankton. II. Effects of phytoplankton concentration, temperature, and body size on the development and molting rates of Calanus pacificus and Pseudocalanus sp.’, Marine Biology, 56(2), pp. 135–146. Available at: https://doi.org/10.1007/BF00397130.","Vidal, J. ",1980,"Physioecology of zooplankton. II. Effects of phytoplankton concentration, temperature, and body size on the development and molting rates of Calanus pacificus and Pseudocalanus sp.",10.1007/BF00397130,135–146,56,(2)
"Viljoen, S. and Van As, J.G. (1987) ‘Notes on the morphology and asexual reproductive processes of sessile peritrichs’, Hydrobiologia, 154(1), pp. 75–86. Available at: https://doi.org/10.1007/BF00026832.","Viljoen, S. and Van As, J.G. ",1987,Notes on the morphology and asexual reproductive processes of sessile peritrichs,10.1007/BF00026832,75–86,154,(1)
"Visscher, J.P. (1923) ‘FEEDING REACTIONS IN THE CILIATE, DILEPTUS GIGAS , WITH SPECIAL REFERENCE TO THE FUNCTION OF TRICHOCYSTS’, The Biological Bulletin, 45(2), pp. 113–143. Available at: https://doi.org/10.2307/1536640.","Visscher, J.P. ",1923,"FEEDING REACTIONS IN THE CILIATE, DILEPTUS GIGAS , WITH SPECIAL REFERENCE TO THE FUNCTION OF TRICHOCYSTS",10.2307/1536640,113–143,45,(2)
"Vizzini, A. et al. (2016) ‘Phylogeny and morphology of the Peziza ammophila complex (Pezizales, Ascomycota), with description of two new species and a new form’, Mycological Progress, 15(8), pp. 883–901. Available at: https://doi.org/10.1007/s11557-016-1213-9.","Vizzini, A. et al. ",2016,"Phylogeny and morphology of the Peziza ammophila complex (Pezizales, Ascomycota), with description of two new species and a new form",10.1007/s11557-016-1213-9,883–901,15,(8)
"Wagner, L. et al. (2013) ‘A comprehensive molecular phylogeny of the <I>Mortierellales</I> (<I>Mortierellomycotina</I>) based on nuclear ribosomal DNA’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 30(1), pp. 77–93. Available at: https://doi.org/10.3767/003158513X666268.","Wagner, L. et al. ",2013,A comprehensive molecular phylogeny of the <I>Mortierellales</I> (<I>Mortierellomycotina</I>) based on nuclear ribosomal DNA,10.3767/003158513X666268,77–93,30,(1)
"Wang, M. et al. (2015) ‘Psychrophilic fungi from the world’s roof’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 34(1), pp. 100–112. Available at: https://doi.org/10.3767/003158515X685878.","Wang, M. et al. ",2015,Psychrophilic fungi from the world’s roof,10.3767/003158515X685878,100–112,34,(1)
"Wang, Q.-M. et al. (2015) ‘Multigene phylogeny and taxonomic revision of yeasts and related fungi in the Ustilaginomycotina’, Studies in Mycology, 81(1), pp. 55–83. Available at: https://doi.org/10.1016/j.simyco.2015.10.004.","Wang, Q.-M. et al. ",2015,Multigene phylogeny and taxonomic revision of yeasts and related fungi in the Ustilaginomycotina,10.1016/j.simyco.2015.10.004,55–83,81,(1)
